＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
149015618,CAL_225_240111_35625,CAL,202401,35625,8,8,33464.17,15.6419,-0.0236,14,日経225
199015718,CAL_225_240111_35750,CAL,202401,35750,6,6,33464.17,15.6651,-0.0236,14,日経225
199016018,CAL_225_240111_36000,CAL,202401,36000,4,4,33464.17,16.0729,-0.0236,14,日経225
199016218,CAL_225_240111_36250,CAL,202401,36250,4,3,33464.17,17.0536,-0.0236,14,日経225
199016518,CAL_225_240111_36500,CAL,202401,36500,3,2,33464.17,17.4884,-0.0236,14,日経225
199016718,CAL_225_240111_36750,CAL,202401,36750,2,2,33464.17,18.1254,-0.0236,14,日経225
199017018,CAL_225_240111_37000,CAL,202401,37000,2,2,33464.17,19.281,-0.0236,14,日経225
199017218,CAL_225_240111_37250,CAL,202401,37250,2,2,33464.17,20.4728,-0.0236,14,日経225
199017518,CAL_225_240111_37500,CAL,202401,37500,2,1,33464.17,20.8588,-0.0236,14,日経225
199017718,CAL_225_240111_37750,CAL,202401,37750,2,1,33464.17,21.7402,-0.0236,14,日経225
149138018,CAL_225_240111_38000,CAL,202401,38000,1,1,33464.17,21.7402,-0.0236,14,日経225
199018518,CAL_225_240111_38500,CAL,202401,38500,1,0,33464.17,21.7402,-0.0236,14,日経225
149139018,CAL_225_240111_39000,CAL,202401,39000,1,0,33464.17,21.7402,-0.0236,14,日経225
199130018,CAL_225_240111_40000,CAL,202401,40000,1,0,33464.17,21.7402,-0.0236,14,日経225
149131018,CAL_225_240111_41000,CAL,202401,41000,1,0,33464.17,21.7402,-0.0236,14,日経225
199132018,CAL_225_240111_42000,CAL,202401,42000,1,0,33464.17,21.7402,-0.0236,14,日経225
149133018,CAL_225_240111_43000,CAL,202401,43000,1,0,33464.17,21.7402,-0.0236,14,日経225
199134018,CAL_225_240111_44000,CAL,202401,44000,1,0,33464.17,21.7402,-0.0236,14,日経225
149250018,CAL_225_240111_50000,CAL,202401,50000,1,0,33464.17,21.7402,-0.0236,14,日経225
199135018,CAL_225_240111_55000,CAL,202401,55000,1,0,33464.17,21.7402,-0.0236,14,日経225
199250018,CAL_225_240111_60000,CAL,202401,60000,1,0,33464.17,21.7402,-0.0236,14,日経225
149132518,CAL_225_240111_62500,CAL,202401,62500,1,0,33464.17,21.7402,-0.0236,14,日経225
199140018,CAL_225_240208_10000,CAL,202402,10000,23465,23463,33464.17,96.0766,0.0655,42,日経225
149142018,CAL_225_240208_12000,CAL,202402,12000,21470,21470,33464.17,110.3702,0.0655,42,日経225
149144018,CAL_225_240208_14000,CAL,202402,14000,19470,19470,33464.17,94.3417,0.0655,42,日経225
149146018,CAL_225_240208_16000,CAL,202402,16000,17470,17465,33464.17,71.7833,0.0655,42,日経225
199028018,CAL_225_240208_18000,CAL,202402,18000,15470,15466,33464.17,62.0307,0.0655,42,日経225
199029018,CAL_225_240208_19000,CAL,202402,19000,14470,14466,33464.17,56.9721,0.0655,42,日経225
199029518,CAL_225_240208_19500,CAL,202402,19500,13970,13966,33464.17,54.5113,0.0655,42,日経225
149260018,CAL_225_240208_20000,CAL,202402,20000,13470,13466,33464.17,52.3122,0.0655,42,日経225
199020518,CAL_225_240208_20500,CAL,202402,20500,12970,12966,33464.17,50.1131,0.0655,42,日経225
